name,lat,lon,rainfall
LatLon0-0,24.414716857142857,68.94161007142857,50.50000000000001
LatLon0-1,23.84717457142857,68.94161007142857,50.50000000000001
LatLon0-2,23.279632285714285,68.94161007142857,128.5999999999999
LatLon0-3,22.712089999999996,68.94161007142857,94.69999999999987
LatLon0-4,22.14454771428571,68.94161007142857,94.69999999999987
LatLon0-5,21.577005428571425,68.94161007142857,245.8999999999997
LatLon0-6,21.00946314285714,68.94161007142857,245.8999999999997
LatLon1-0,24.414716857142857,69.79198621428571,50.50000000000001
LatLon1-1,23.84717457142857,69.79198621428571,64.6
LatLon1-2,23.279632285714285,69.79198621428571,64.6
LatLon1-3,22.712089999999996,69.79198621428571,103.99999999999984
LatLon1-4,22.14454771428571,69.79198621428571,143.8999999999998
LatLon1-5,21.577005428571425,69.79198621428571,245.8999999999997
LatLon1-6,21.00946314285714,69.79198621428571,323.2000000000005
LatLon2-0,24.414716857142857,70.64236235714286,24.800000000000004
LatLon2-1,23.84717457142857,70.64236235714286,83.4999999999999
LatLon2-2,23.279632285714285,70.64236235714286,77.89999999999998
LatLon2-3,22.712089999999996,70.64236235714286,77.89999999999998
LatLon2-4,22.14454771428571,70.64236235714286,74.69999999999997
LatLon2-5,21.577005428571425,70.64236235714286,264.5000000000004
LatLon2-6,21.00946314285714,70.64236235714286,285.7000000000005
LatLon3-0,24.414716857142857,71.4927385,111.6
LatLon3-1,23.84717457142857,71.4927385,204.8999999999998
LatLon3-2,23.279632285714285,71.4927385,108.09999999999994
LatLon3-3,22.712089999999996,71.4927385,98.69999999999999
LatLon3-4,22.14454771428571,71.4927385,113.09999999999994
LatLon3-5,21.577005428571425,71.4927385,44.50000000000003
LatLon3-6,21.00946314285714,71.4927385,177.79999999999976
LatLon4-0,24.414716857142857,72.34311464285713,111.6
LatLon4-1,23.84717457142857,72.34311464285713,174.59999999999968
LatLon4-2,23.279632285714285,72.34311464285713,143.79999999999995
LatLon4-3,22.712089999999996,72.34311464285713,80.30000000000008
LatLon4-4,22.14454771428571,72.34311464285713,156.69999999999985
LatLon4-5,21.577005428571425,72.34311464285713,138.79999999999984
LatLon4-6,21.00946314285714,72.34311464285713,220.09999999999988
LatLon5-0,24.414716857142857,73.19349078571427,68.3
LatLon5-1,23.84717457142857,73.19349078571427,120.49999999999986
LatLon5-2,23.279632285714285,73.19349078571427,119.6999999999999
LatLon5-3,22.712089999999996,73.19349078571427,121.29999999999993
LatLon5-4,22.14454771428571,73.19349078571427,100.69999999999992
LatLon5-5,21.577005428571425,73.19349078571427,174.49999999999974
LatLon5-6,21.00946314285714,73.19349078571427,130.49999999999983
LatLon6-0,24.414716857142857,74.04386692857142,90.99999999999993
LatLon6-1,23.84717457142857,74.04386692857142,66.1
LatLon6-2,23.279632285714285,74.04386692857142,67.30000000000003
LatLon6-3,22.712089999999996,74.04386692857142,66.80000000000003
LatLon6-4,22.14454771428571,74.04386692857142,100.39999999999993
LatLon6-5,21.577005428571425,74.04386692857142,45.40000000000001
LatLon6-6,21.00946314285714,74.04386692857142,45.40000000000001
