name,lat,lon
LatLon0-0,24.698488,68.516422
LatLon0-1,24.130945714285716,68.516422
LatLon0-2,23.56340342857143,68.516422
LatLon0-3,22.995861142857144,68.516422
LatLon0-4,22.428318857142855,68.516422
LatLon0-5,21.86077657142857,68.516422
LatLon0-6,21.293234285714284,68.516422
LatLon0-7,20.725692,68.516422
LatLon1-0,24.698488,69.36679814285715
LatLon1-1,24.130945714285716,69.36679814285715
LatLon1-2,23.56340342857143,69.36679814285715
LatLon1-3,22.995861142857144,69.36679814285715
LatLon1-4,22.428318857142855,69.36679814285715
LatLon1-5,21.86077657142857,69.36679814285715
LatLon1-6,21.293234285714284,69.36679814285715
LatLon1-7,20.725692,69.36679814285715
LatLon2-0,24.698488,70.2171742857143
LatLon2-1,24.130945714285716,70.2171742857143
LatLon2-2,23.56340342857143,70.2171742857143
LatLon2-3,22.995861142857144,70.2171742857143
LatLon2-4,22.428318857142855,70.2171742857143
LatLon2-5,21.86077657142857,70.2171742857143
LatLon2-6,21.293234285714284,70.2171742857143
LatLon2-7,20.725692,70.2171742857143
LatLon3-0,24.698488,71.06755042857144
LatLon3-1,24.130945714285716,71.06755042857144
LatLon3-2,23.56340342857143,71.06755042857144
LatLon3-3,22.995861142857144,71.06755042857144
LatLon3-4,22.428318857142855,71.06755042857144
LatLon3-5,21.86077657142857,71.06755042857144
LatLon3-6,21.293234285714284,71.06755042857144
LatLon3-7,20.725692,71.06755042857144
LatLon4-0,24.698488,71.91792657142857
LatLon4-1,24.130945714285716,71.91792657142857
LatLon4-2,23.56340342857143,71.91792657142857
LatLon4-3,22.995861142857144,71.91792657142857
LatLon4-4,22.428318857142855,71.91792657142857
LatLon4-5,21.86077657142857,71.91792657142857
LatLon4-6,21.293234285714284,71.91792657142857
LatLon4-7,20.725692,71.91792657142857
LatLon5-0,24.698488,72.76830271428571
LatLon5-1,24.130945714285716,72.76830271428571
LatLon5-2,23.56340342857143,72.76830271428571
LatLon5-3,22.995861142857144,72.76830271428571
LatLon5-4,22.428318857142855,72.76830271428571
LatLon5-5,21.86077657142857,72.76830271428571
LatLon5-6,21.293234285714284,72.76830271428571
LatLon5-7,20.725692,72.76830271428571
LatLon6-0,24.698488,73.61867885714285
LatLon6-1,24.130945714285716,73.61867885714285
LatLon6-2,23.56340342857143,73.61867885714285
LatLon6-3,22.995861142857144,73.61867885714285
LatLon6-4,22.428318857142855,73.61867885714285
LatLon6-5,21.86077657142857,73.61867885714285
LatLon6-6,21.293234285714284,73.61867885714285
LatLon6-7,20.725692,73.61867885714285
LatLon7-0,24.698488,74.469055
LatLon7-1,24.130945714285716,74.469055
LatLon7-2,23.56340342857143,74.469055
LatLon7-3,22.995861142857144,74.469055
LatLon7-4,22.428318857142855,74.469055
LatLon7-5,21.86077657142857,74.469055
LatLon7-6,21.293234285714284,74.469055
LatLon7-7,20.725692,74.469055
